semester_awal;tgl
2008 Ganjil;1-Sep-08
2008 Genap;1-Feb-09
2009 Ganjil;7-Sep-09
2009 Genap;22-Feb-10
2010 Ganjil;20-Sep-10
2010 Genap;21-Feb-11
2011 Ganjil;19-Sep-11
2011 Genap;20-Feb-12
2012 Ganjil;17-Sep-12
2012 Genap;21-Feb-13
2013 Ganjil;23-Sep-13
2013 Genap;24-Feb-14
2014 Ganjil;22-Sep-14
2014 Genap;23-Feb-15
2015 Ganjil;21-Sep-15
2015 Genap;22-Feb-16
2016 Ganjil;19-Sep-16
2016 Genap;20-Feb-17
2017 Ganjil;18-Sep-17
2017 Genap;19-Feb-18
2018 Ganjil;17-Sep-18
2018 Genap;18-Feb-19
